Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,C_a,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio,Fecha
CEMEXCPO,CEMEX CPO,Equity,8.37,16.82,"286,742,869.00","4,823,015,056.58","4,823,015,056.58",Materiales,2406457,MXP225611567,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
TLEVISAC,GRUPO TELEVISA,Equity,4.74,57.02,"47,926,803.00","2,732,786,307.06","2,732,786,307.06",Comunicación,2380108,MXP4987V1378,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
ELEKTRA,GRUPO ELEKTRA,Equity,3.1,"1,615.13","1,105,165.00","1,784,985,146.45","1,784,985,146.45",Financieros,2967084,MX01EL000003,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
GAPB,GRUPO AEROPORTUARIO DEL PACIFICO,Equity,2.54,212.15,"6,901,857.00","1,464,228,962.55","1,464,228,962.55",Industriales,B0ZV104,MX01GA000004,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
ASURB,GRUPO AEROPORTUARIO DEL SURESTE B,Equity,2.41,367.89,"3,778,510.00","1,390,076,043.90","1,390,076,043.90",Industriales,2639349,MXP001661018,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
BIMBOA,GRUPO BIMBO A,Equity,2.01,43.89,"26,343,562.00","1,156,218,936.18","1,156,218,936.18",Productos básicos de consumo,2392471,MXP495211262,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
KOFUBL,COCA-COLA FEMSA CLASS UBL UNITS,Equity,1.82,105.47,"9,948,777.00","1,049,297,510.19","1,049,297,510.19",Productos básicos de consumo,BHHP0S4,MX01KO000002,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
ORBIA,ORBIA ADVANCE CORP SA DE CV,Equity,1.73,52.14,"19,094,097.00","995,566,217.58","995,566,217.58",Materiales,BH3T8K8,MX01OR010004,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
AC,ARCA CONTINENTAL,Equity,1.68,115.62,"8,355,009.00","966,006,140.58","966,006,140.58",Productos básicos de consumo,2823885,MX01AC100006,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
KIMBERA,KIMBERLY-CLARK DE MEXICO CLASS A,Equity,1.64,35.37,"26,683,418.00","943,792,494.66","943,792,494.66",Productos básicos de consumo,2491914,MXP606941179,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
GRUMAB,GRUMA,Equity,1.53,222.81,"3,945,747.00","879,151,889.07","879,151,889.07",Productos básicos de consumo,2392545,MXP4948K1056,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
OMAB,GRUPO AEROPORTUARIO DEL CENTRO NOR,Equity,1.47,130.32,"6,516,272.00","849,200,567.04","849,200,567.04",Industriales,B1KFX13,MX01OM000018,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
GFINBURO,GRUPO FINANCIERO INBURSA SRIES O,Equity,1.38,19.72,"40,407,338.00","796,832,705.36","796,832,705.36",Financieros,2822398,MXP370641013,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
ALFAA,ALFA A,Equity,1.38,14.96,"53,006,137.00","792,971,809.52","792,971,809.52",Industriales,2043423,MXP000511016,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
PE&OLES,INDUST PENOLES,Equity,1.11,275.16,"2,333,984.00","642,219,037.44","642,219,037.44",Materiales,2448200,MXP554091415,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
PINFRA,PROMOTORA Y OPERADORA DE INFRAESTR,Equity,1.1,159.47,"3,960,226.00","631,537,240.22","631,537,240.22",Industriales,2393388,MX01PI000005,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
CUERVO,BECLE SA DE CV,Equity,0.94,52.44,"10,382,540.00","544,460,397.60","544,460,397.60",Productos básicos de consumo,BYM4063,MX01CU010003,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
GCARSOA1,GRUPO CARSO SERIES A1,Equity,0.93,62.29,"8,563,767.00","533,437,046.43","533,437,046.43",Industriales,2393452,MXP461181085,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
GCC*,GRUPO CEMENTOS,Equity,0.86,160.95,"3,067,711.00","493,748,085.45","493,748,085.45",Materiales,2946663,MX01GC2M0006,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
BBAJIOO,BANCO DEL BAJIO INSTITUCION DE BAN,Equity,0.84,35.76,"13,524,211.00","483,625,785.36","483,625,785.36",Financieros,BYSX0F3,MX41BB000000,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
VESTA*,CORPORACION INMOBILIARIA VESTA,Equity,0.84,38.78,"12,432,816.00","482,144,604.48","482,144,604.48",Inmobiliario,B8F6ZF8,MX01VE0M0003,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
MEGAC,MEGACABLE HOLDINGS CPO,Equity,0.7,70.54,"5,678,717.00","400,576,697.18","400,576,697.18",Comunicación,B292SM8,MX01ME090003,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
BOLSAA,BOLSA MEXICANA DE VALORES,Equity,0.68,43.91,"8,965,153.00","393,659,868.23","393,659,868.23",Financieros,B39VVF6,MX01BM1B0000,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
ALSEA,ALSEA DE CV,Equity,0.59,35.47,"9,530,833.00","338,058,646.51","338,058,646.51",Consumo discrecional,2563017,MXP001391012,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
LIVEPOLC.1,EL PUERTO DE LIVERPOOL C1,Equity,0.58,88.75,"3,740,095.00","331,933,431.25","331,933,431.25",Consumo discrecional,2306814,MXP369181377,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
SITESB.1,TELESITES B-1,Equity,0.56,18.44,"17,502,904.00","322,753,549.76","322,753,549.76",Comunicación,BD0G5P8,MX01SI080038,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
Q*,QUALITAS CONTROLADORA,Equity,0.53,92.91,"3,285,700.00","305,274,387.00","305,274,387.00",Financieros,BYMXF65,MX01Q0000008,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
LABB,GENOMMA LAB INTERNATIONAL,Equity,0.51,20.57,"14,293,282.00","294,012,810.74","294,012,810.74",Cuidado de la Salud,B3B1C73,MX01LA010006,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
RA,REGIONAL SAB DE CV,Equity,0.48,117.23,"2,360,508.00","276,722,352.84","276,722,352.84",Financieros,BG1Z6X0,MX01R0000006,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
MXN,MXN CASH,Cash,0.1,100,"55,093,236.00","55,093,236.12","55,093,236.12",Liquidez,-,-,-,México,MXN,MXN,1,30/06/2021
AMXL,AMERICA MOVIL L,Equity,12.71,16.68,"448,581,394.00","7,482,337,651.92","7,482,337,651.92",Comunicación,2667470,MXP001691213,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/07/2021
